LANGUAGE,LINEAGE
language_1,"[0, 1]"
language_3,"[0, 1]"
language_4,"[0, 1]"
language_5,"[1, 0]"
language_6,"[0, 1]"
language_7,"[0, 1]"
language_8,"[0, 1]"
language_10,"[0, 1]"
language_11,"[1, 0]"
language_12,"[1, 1]"
language_13,"[1, 1]"
language_14,"[0, 1]"
language_16,"[1, 1]"
language_20,"[1, 1]"
language_21,"[0, 1]"
language_22,"[0, 1]"
language_23,"[0, 1]"
language_25,"[1, 1]"
language_26,"[0, 1]"
language_29,"[0, 1]"
language_31,"[0, 0]"
language_32,"[1, 1]"
language_34,"[0, 1]"
language_36,"[0, 0]"
language_37,"[0, 1]"
language_39,"[1, 1]"
language_40,"[1, 1]"
language_41,"[0, 0]"
language_45,"[1, 1]"
language_47,"[0, 1]"
language_49,"[0, 0]"
language_50,"[1, 1]"
language_52,"[0, 1]"
language_53,"[0, 0]"
language_55,"[1, 1]"
language_56,"[0, 0]"
language_59,"[0, 1]"
language_60,"[0, 1]"
language_62,"[0, 1]"
language_63,"[0, 1]"
language_64,"[0, 1]"
language_66,"[1, 1]"
language_67,"[0, 1]"
language_68,"[0, 1]"
language_70,"[0, 1]"
language_71,"[0, 0]"
language_72,"[1, 1]"
language_73,"[0, 1]"
language_76,"[0, 1]"
language_79,"[0, 1]"
language_80,"[0, 1]"
language_84,"[0, 1]"
language_87,"[1, 1]"
language_88,"[0, 1]"
language_89,"[1, 1]"
language_93,"[1, 1]"
language_95,"[0, 1]"
language_99,"[1, 0]"
language_101,"[1, 1]"
language_102,"[0, 1]"
language_103,"[0, 1]"
language_104,"[0, 0]"
language_106,"[0, 1]"
language_107,"[1, 1]"
language_111,"[0, 1]"
language_115,"[0, 1]"
language_116,"[0, 1]"
language_117,"[0, 1]"
language_120,"[0, 1]"
language_122,"[0, 1]"
language_125,"[0, 0]"
language_126,"[0, 1]"
language_127,"[0, 1]"
language_128,"[0, 0]"
language_129,"[1, 0]"
language_130,"[1, 1]"
language_134,"[1, 1]"
language_135,"[0, 0]"
language_136,"[1, 1]"
language_138,"[0, 1]"
language_139,"[0, 1]"
language_141,"[1, 1]"
language_144,"[1, 0]"
language_146,"[0, 0]"
language_147,"[0, 1]"
language_148,"[0, 1]"
language_149,"[0, 1]"
language_150,"[0, 1]"
language_153,"[0, 1]"
language_154,"[0, 1]"
language_155,"[1, 0]"
language_157,"[0, 1]"
language_159,"[0, 1]"
language_160,"[0, 1]"
language_161,"[0, 0]"
language_163,"[1, 1]"
language_165,"[0, 1]"
language_166,"[0, 1]"
language_168,"[0, 0]"
language_170,"[0, 1]"
language_171,"[0, 1]"
language_174,"[0, 1]"
language_175,"[0, 1]"
language_176,"[0, 0]"
language_178,"[0, 0]"
language_179,"[0, 1]"
language_180,"[0, 1]"
language_181,"[1, 1]"
language_183,"[0, 1]"
language_184,"[0, 0]"
language_185,"[1, 0]"
language_188,"[0, 1]"
language_191,"[1, 1]"
language_192,"[1, 1]"
language_193,"[1, 1]"
language_195,"[1, 1]"
language_196,"[0, 1]"
language_197,"[0, 0]"
language_199,"[0, 1]"
language_200,"[0, 1]"
language_201,"[0, 1]"
language_204,"[0, 0]"
language_205,"[0, 1]"
language_206,"[0, 1]"
language_207,"[0, 0]"
language_209,"[0, 1]"
language_212,"[0, 1]"
language_214,"[0, 1]"
language_216,"[1, 1]"
language_217,"[0, 1]"
language_218,"[1, 1]"
language_219,"[0, 0]"
language_220,"[1, 0]"
language_221,"[0, 1]"
language_222,"[0, 1]"
language_224,"[0, 1]"
language_227,"[1, 1]"
language_228,"[0, 1]"
language_229,"[0, 1]"
language_230,"[0, 0]"
language_232,"[1, 1]"
language_234,"[0, 1]"
language_236,"[0, 1]"
language_237,"[0, 1]"
language_238,"[0, 1]"
language_240,"[0, 1]"
language_245,"[0, 1]"
language_246,"[0, 1]"
language_247,"[0, 0]"
language_248,"[1, 1]"
language_249,"[1, 0]"
language_250,"[0, 1]"
language_255,"[0, 1]"
language_257,"[1, 1]"
language_258,"[0, 1]"
language_259,"[1, 1]"
language_263,"[0, 1]"
language_265,"[0, 1]"
language_266,"[0, 1]"
language_268,"[0, 1]"
language_269,"[0, 1]"
language_270,"[0, 1]"
language_271,"[0, 1]"
language_272,"[0, 1]"
language_273,"[0, 1]"
language_275,"[0, 0]"
language_277,"[0, 0]"
language_278,"[1, 1]"
language_279,"[0, 1]"
language_282,"[1, 1]"
language_284,"[1, 0]"
language_285,"[0, 0]"
language_287,"[1, 1]"
language_288,"[0, 1]"
language_289,"[0, 1]"
language_290,"[1, 0]"
language_294,"[1, 0]"
language_295,"[0, 1]"
language_297,"[0, 0]"
language_298,"[0, 1]"
language_299,"[1, 1]"
language_300,"[0, 1]"
language_301,"[0, 1]"
language_303,"[1, 1]"
language_304,"[0, 0]"
language_306,"[0, 1]"
language_307,"[1, 1]"
language_308,"[0, 1]"
language_311,"[0, 1]"
language_312,"[0, 1]"
language_314,"[0, 1]"
language_315,"[0, 1]"
language_317,"[1, 1]"
language_318,"[0, 1]"
language_319,"[0, 1]"
language_320,"[0, 0]"
language_323,"[0, 1]"
language_325,"[0, 1]"
language_326,"[0, 1]"
language_328,"[0, 0]"
language_329,"[0, 1]"
language_330,"[1, 0]"
language_333,"[0, 1]"
language_334,"[0, 1]"
language_335,"[0, 1]"
language_338,"[0, 1]"
language_339,"[0, 1]"
language_340,"[1, 1]"
language_341,"[1, 1]"
language_343,"[0, 1]"
language_345,"[0, 1]"
language_347,"[0, 1]"
language_351,"[0, 1]"
language_352,"[0, 0]"
language_353,"[0, 1]"
language_354,"[0, 0]"
language_355,"[1, 0]"
language_356,"[0, 1]"
language_357,"[0, 1]"
language_358,"[1, 1]"
language_359,"[0, 0]"
language_360,"[0, 1]"
language_361,"[1, 1]"
language_363,"[1, 0]"
language_365,"[0, 0]"
language_366,"[0, 1]"
language_367,"[0, 0]"
language_368,"[0, 1]"
language_370,"[0, 1]"
language_372,"[0, 0]"
language_373,"[0, 1]"
language_374,"[0, 0]"
language_375,"[0, 1]"
language_376,"[0, 1]"
language_377,"[0, 1]"
language_379,"[0, 1]"
language_380,"[0, 1]"
language_381,"[1, 1]"
language_382,"[0, 1]"
language_383,"[0, 1]"
language_386,"[0, 1]"
language_388,"[0, 1]"
language_391,"[0, 1]"
language_396,"[1, 1]"
language_398,"[0, 1]"
language_401,"[1, 0]"
language_402,"[0, 1]"
language_403,"[1, 1]"
language_405,"[0, 0]"
language_406,"[0, 1]"
language_407,"[1, 1]"
language_408,"[1, 1]"
language_410,"[1, 1]"
language_411,"[0, 1]"
