LANGUAGE,LINEAGE
language_2,"[1, 1]"
language_3,"[0, 1]"
language_5,"[0, 1]"
language_6,"[0, 1]"
language_10,"[0, 1]"
language_11,"[1, 0]"
language_13,"[0, 1]"
language_14,"[0, 1]"
language_15,"[1, 0]"
language_19,"[0, 1]"
language_21,"[1, 0]"
language_22,"[0, 1]"
language_23,"[0, 1]"
language_24,"[1, 1]"
language_25,"[0, 1]"
language_27,"[0, 1]"
language_28,"[0, 1]"
language_29,"[1, 1]"
language_30,"[0, 1]"
language_33,"[0, 1]"
language_36,"[1, 0]"
language_37,"[0, 1]"
language_40,"[0, 1]"
language_41,"[0, 1]"
language_42,"[1, 1]"
language_44,"[0, 1]"
language_45,"[0, 1]"
language_47,"[0, 1]"
language_48,"[0, 1]"
language_49,"[0, 1]"
language_51,"[0, 1]"
language_52,"[1, 1]"
language_53,"[0, 1]"
language_56,"[1, 0]"
language_58,"[0, 1]"
language_59,"[1, 1]"
language_61,"[0, 1]"
language_62,"[1, 0]"
language_63,"[1, 0]"
language_64,"[0, 1]"
language_65,"[0, 0]"
language_66,"[0, 0]"
language_67,"[1, 0]"
language_68,"[0, 1]"
language_69,"[0, 1]"
language_70,"[1, 1]"
language_71,"[1, 1]"
language_72,"[0, 0]"
language_73,"[1, 1]"
language_75,"[0, 1]"
language_77,"[1, 1]"
language_79,"[1, 1]"
language_80,"[0, 1]"
language_81,"[0, 0]"
language_83,"[0, 1]"
language_84,"[0, 1]"
language_85,"[0, 1]"
language_86,"[0, 1]"
language_87,"[1, 1]"
language_89,"[0, 1]"
language_90,"[0, 1]"
language_92,"[1, 1]"
language_93,"[0, 0]"
language_95,"[0, 1]"
language_96,"[0, 1]"
language_97,"[0, 1]"
language_98,"[0, 1]"
language_99,"[0, 1]"
language_100,"[1, 1]"
language_101,"[1, 1]"
language_102,"[0, 1]"
language_103,"[0, 1]"
language_104,"[0, 0]"
language_106,"[1, 0]"
language_108,"[0, 1]"
language_110,"[0, 0]"
language_111,"[0, 1]"
language_112,"[0, 1]"
language_113,"[0, 1]"
language_114,"[0, 1]"
language_115,"[0, 1]"
language_117,"[0, 0]"
language_118,"[0, 1]"
language_119,"[0, 1]"
language_120,"[0, 0]"
language_122,"[1, 1]"
language_125,"[0, 0]"
language_126,"[0, 1]"
language_127,"[0, 0]"
language_128,"[1, 0]"
language_129,"[0, 1]"
language_130,"[0, 1]"
language_131,"[0, 1]"
language_135,"[1, 1]"
language_136,"[1, 1]"
language_138,"[0, 0]"
language_140,"[1, 1]"
language_141,"[0, 1]"
language_143,"[0, 1]"
language_145,"[1, 1]"
language_147,"[0, 1]"
language_148,"[0, 1]"
language_152,"[1, 1]"
language_153,"[0, 1]"
language_155,"[0, 1]"
language_157,"[0, 1]"
language_158,"[0, 1]"
language_159,"[0, 1]"
language_160,"[0, 0]"
language_162,"[1, 1]"
language_164,"[0, 1]"
language_165,"[1, 1]"
language_166,"[0, 0]"
language_170,"[0, 1]"
language_171,"[0, 1]"
language_173,"[0, 1]"
language_174,"[0, 1]"
language_176,"[0, 0]"
language_177,"[1, 1]"
language_178,"[1, 1]"
language_180,"[0, 1]"
language_184,"[0, 1]"
language_185,"[1, 0]"
language_186,"[0, 0]"
language_187,"[0, 1]"
language_188,"[0, 0]"
language_192,"[0, 1]"
language_193,"[0, 1]"
language_194,"[0, 1]"
language_195,"[1, 1]"
language_196,"[0, 0]"
language_197,"[0, 1]"
language_198,"[0, 0]"
language_199,"[0, 1]"
language_200,"[1, 1]"
language_201,"[0, 1]"
language_202,"[0, 1]"
language_205,"[1, 0]"
language_206,"[0, 1]"
language_207,"[0, 0]"
language_208,"[0, 1]"
language_211,"[0, 1]"
language_212,"[0, 1]"
language_213,"[0, 0]"
language_214,"[1, 1]"
language_215,"[0, 1]"
language_216,"[0, 1]"
language_217,"[1, 1]"
language_218,"[1, 1]"
language_219,"[1, 1]"
language_221,"[1, 1]"
language_225,"[0, 0]"
language_226,"[0, 1]"
language_228,"[0, 1]"
language_229,"[1, 0]"
language_232,"[0, 1]"
language_233,"[0, 1]"
language_235,"[0, 1]"
language_236,"[0, 1]"
language_237,"[0, 0]"
language_238,"[0, 1]"
language_239,"[0, 1]"
language_240,"[1, 1]"
language_241,"[0, 0]"
language_244,"[0, 1]"
language_245,"[0, 0]"
language_246,"[0, 1]"
language_248,"[0, 1]"
language_250,"[1, 1]"
language_251,"[0, 1]"
language_252,"[1, 1]"
language_254,"[1, 1]"
language_256,"[0, 0]"
language_257,"[1, 1]"
language_263,"[0, 1]"
language_264,"[0, 0]"
language_265,"[1, 1]"
language_266,"[0, 1]"
language_267,"[0, 0]"
language_268,"[0, 0]"
language_270,"[0, 1]"
language_271,"[0, 1]"
language_273,"[0, 1]"
language_275,"[0, 0]"
language_278,"[0, 0]"
language_279,"[0, 1]"
language_280,"[0, 1]"
language_281,"[1, 1]"
language_282,"[0, 0]"
language_283,"[0, 1]"
language_284,"[0, 1]"
language_286,"[0, 0]"
language_287,"[0, 1]"
language_289,"[0, 1]"
language_290,"[1, 1]"
language_291,"[1, 1]"
language_292,"[1, 1]"
language_293,"[0, 1]"
language_294,"[1, 1]"
language_295,"[0, 1]"
language_298,"[0, 1]"
language_299,"[1, 1]"
language_300,"[0, 1]"
language_301,"[0, 0]"
language_304,"[0, 1]"
language_307,"[1, 1]"
language_309,"[1, 1]"
language_310,"[1, 1]"
language_311,"[1, 1]"
language_312,"[0, 1]"
language_313,"[0, 1]"
language_315,"[1, 1]"
language_316,"[0, 0]"
language_317,"[0, 1]"
language_319,"[0, 1]"
language_320,"[0, 1]"
language_321,"[1, 1]"
language_322,"[0, 1]"
language_324,"[1, 0]"
language_325,"[0, 0]"
language_326,"[0, 1]"
language_330,"[1, 0]"
language_332,"[0, 1]"
language_334,"[1, 1]"
language_336,"[1, 1]"
language_337,"[0, 1]"
language_338,"[0, 0]"
language_339,"[0, 1]"
language_341,"[0, 1]"
language_344,"[0, 1]"
language_347,"[1, 1]"
language_350,"[0, 1]"
language_353,"[0, 1]"
language_354,"[0, 1]"
language_355,"[0, 0]"
language_359,"[0, 1]"
language_360,"[0, 0]"
language_361,"[0, 1]"
language_362,"[0, 1]"
language_363,"[0, 1]"
language_364,"[1, 0]"
language_365,"[0, 1]"
language_368,"[0, 1]"
language_369,"[0, 1]"
language_370,"[0, 1]"
language_372,"[0, 1]"
language_376,"[1, 1]"
language_378,"[0, 0]"
language_379,"[0, 1]"
language_380,"[0, 1]"
language_381,"[0, 0]"
language_382,"[0, 0]"
language_383,"[0, 1]"
language_387,"[0, 1]"
language_388,"[0, 1]"
language_390,"[0, 1]"
language_392,"[0, 1]"
language_393,"[1, 1]"
language_394,"[0, 0]"
language_395,"[0, 0]"
language_396,"[0, 0]"
language_397,"[1, 1]"
language_398,"[0, 0]"
language_399,"[0, 1]"
language_400,"[0, 1]"
language_401,"[0, 1]"
language_402,"[1, 1]"
language_403,"[0, 1]"
language_404,"[0, 1]"
language_405,"[1, 0]"
language_406,"[0, 1]"
language_407,"[0, 1]"
language_408,"[0, 1]"
language_410,"[0, 1]"
language_411,"[0, 0]"
language_413,"[1, 1]"
language_414,"[0, 1]"
language_415,"[0, 1]"
language_416,"[1, 0]"
language_418,"[1, 1]"
language_420,"[1, 1]"
language_421,"[0, 1]"
language_422,"[0, 0]"
language_423,"[0, 1]"
language_424,"[1, 1]"
language_429,"[1, 1]"
language_433,"[0, 1]"
language_434,"[0, 1]"
language_437,"[0, 0]"
language_438,"[1, 1]"
language_439,"[0, 1]"
language_440,"[0, 1]"
language_443,"[0, 1]"
language_444,"[0, 0]"
language_445,"[1, 0]"
language_450,"[0, 1]"
language_451,"[0, 1]"
language_453,"[0, 1]"
language_455,"[1, 0]"
language_458,"[1, 0]"
language_461,"[0, 1]"
language_463,"[1, 1]"
language_466,"[1, 0]"
language_468,"[0, 0]"
language_469,"[0, 0]"
language_470,"[0, 0]"
language_471,"[0, 1]"
language_472,"[0, 1]"
language_473,"[1, 1]"
language_474,"[1, 1]"
language_475,"[1, 0]"
language_476,"[0, 1]"
language_477,"[1, 1]"
language_479,"[1, 1]"
language_481,"[1, 1]"
language_482,"[1, 1]"
language_484,"[1, 0]"
language_485,"[1, 0]"
language_486,"[0, 1]"
language_487,"[0, 1]"
language_490,"[0, 1]"
language_492,"[0, 0]"
language_493,"[0, 1]"
language_494,"[1, 1]"
language_496,"[1, 1]"
language_497,"[1, 1]"
language_498,"[1, 0]"
language_499,"[0, 1]"
language_501,"[0, 1]"
language_502,"[0, 0]"
language_503,"[0, 0]"
language_504,"[0, 1]"
language_507,"[0, 1]"
language_509,"[1, 1]"
language_511,"[0, 1]"
language_513,"[0, 0]"
language_516,"[0, 1]"
language_518,"[0, 0]"
language_521,"[0, 1]"
language_523,"[1, 1]"
language_524,"[1, 0]"
